連番,氏名,氏名（カタカナ）,性別,電話番号,生年月日,年齢,出身地,血液型
1,角直子,カクナオコ,女,0526855442,1983/12/22,37,沖縄県,O
2,金森栄三郎,カナモリエイザブロウ,男,0563079698,1987/12/04,33,神奈川県,O
3,江成明日香,エナリアスカ,女,0583118362,1988/11/21,32,奈良県,AB
4,金山楓華,カナヤマフウカ,女,0186075749,1962/11/08,58,福岡県,O
5,城戸毅,キドタケシ,男,0552001658,1972/07/04,48,宮崎県,B
6,石黒浩志,イシグロコウジ,男,0884082659,1987/10/23,33,栃木県,A
7,池内留美,イケウチルミ,女,0745243215,1984/12/30,36,栃木県,O
8,深井秀光,フカイヒデミツ,男,0861528245,1976/08/09,44,秋田県,A
9,芦田秀吉,アシダヒデキチ,男,0927237349,1977/07/05,43,栃木県,A
10,橋口栞那,ハシグチカンナ,女,0840263423,2009/11/16,11,福島県,A
11,杉野壮健,スギノソウケン,男,0878705977,1996/04/28,24,和歌山県,AB
12,迫田瑛太,サコタエイタ,男,0930842079,2008/06/08,12,愛知県,B
13,松永昭治,マツナガショウジ,男,09563049,1973/02/26,48,岡山県,O
14,深沢明雄,フカザワアキオ,男,0997522580,2009/05/30,11,愛知県,B
15,阪本有紗,サカモトアリサ,女,0455325216,1965/10/09,55,香川県,O
16,新田沙樹,ニッタサキ,女,0973476479,1984/06/20,36,福井県,B
17,本山円,モトヤママドカ,女,0576019651,1968/08/01,52,秋田県,O
18,河本旺大,カワモトオウダイ,男,0598465743,1998/07/31,22,高知県,B
19,滋賀和弥,シガカズヤ,男,0936145804,1963/02/11,58,京都府,A
20,中澤善太郎,ナカザワゼンタロウ,男,0494503963,1989/06/01,31,岩手県,O
21,宮島芳太郎,ミヤジマヨシタロウ,男,0276840416,1981/10/15,39,東京都,A
22,入江愛香,イリエアイカ,女,0983881196,1988/01/27,33,東京都,A
23,保田章子,ヤスダアキコ,女,0995347367,1990/11/21,30,岐阜県,A
24,東陽菜,アズマハルナ,女,0888236774,1997/10/30,23,福井県,B
25,河原文夫,カワハラフミオ,男,0527043257,1984/08/06,36,神奈川県,O
26,白石奈保美,シライシナホミ,女,0857884841,2000/11/09,20,大阪府,A
27,須田文彦,スダフミヒコ,男,0292903149,2005/08/22,15,徳島県,O
28,中山太一,ナカヤマタイチ,男,0984483564,1962/05/12,58,愛媛県,A
29,太田利吉,オオタリキチ,男,082004643,1985/08/14,35,兵庫県,A
