0,1,2,性別,0,生年月日,年齢,出身地,血液型,結婚
1,角直子,カクナオコ,女,526855442,1983/12/22,37,沖縄県,O,0
2,金森栄三郎,カナモリエイザブロウ,男,563079698,1987/12/04,33,神奈川県,O,1
3,江成明日香,エナリアスカ,女,583118362,1988/11/21,32,奈良県,AB,1
4,金山楓華,カナヤマフウカ,女,186075749,1962/11/08,58,福岡県,O,1
5,城戸毅,キドタケシ,男,552001658,1972/07/04,48,宮崎県,B,1
6,石黒浩志,イシグロコウジ,男,884082659,1987/10/23,33,栃木県,A,1
7,池内留美,イケウチルミ,女,745243215,1984/12/30,36,栃木県,O,1
8,深井秀光,フカイヒデミツ,男,861528245,1976/08/09,44,秋田県,A,1
9,芦田秀吉,アシダヒデキチ,男,927237349,1977/07/05,43,栃木県,A,0
10,橋口栞那,ハシグチカンナ,女,840263423,2009/11/16,11,福島県,A,1
11,杉野壮健,スギノソウケン,男,878705977,1996/04/28,24,和歌山県,AB,0
12,迫田瑛太,サコタエイタ,男,930842079,2008/06/08,12,愛知県,B,0
13,松永昭治,マツナガショウジ,男,9563049,1973/02/26,48,岡山県,O,0
14,深沢明雄,フカザワアキオ,男,997522580,2009/05/30,11,愛知県,B,1
15,阪本有紗,サカモトアリサ,女,455325216,1965/10/09,55,香川県,O,1
16,新田沙樹,ニッタサキ,女,973476479,1984/06/20,36,福井県,B,0
17,本山円,モトヤママドカ,女,576019651,1968/08/01,52,秋田県,O,1
18,河本旺大,カワモトオウダイ,男,598465743,1998/07/31,22,高知県,B,0
19,滋賀和弥,シガカズヤ,男,936145804,1963/02/11,58,京都府,A,1
20,中澤善太郎,ナカザワゼンタロウ,男,494503963,1989/06/01,31,岩手県,O,1
21,宮島芳太郎,ミヤジマヨシタロウ,男,276840416,1981/10/15,39,東京都,A,1
22,入江愛香,イリエアイカ,女,983881196,1988/01/27,33,東京都,A,0
23,保田章子,ヤスダアキコ,女,995347367,1990/11/21,30,岐阜県,A,1
24,東陽菜,アズマハルナ,女,888236774,1997/10/30,23,福井県,B,0
25,河原文夫,カワハラフミオ,男,527043257,1984/08/06,36,神奈川県,O,1
26,白石奈保美,シライシナホミ,女,857884841,2000/11/09,20,大阪府,A,1
27,須田文彦,スダフミヒコ,男,292903149,2005/08/22,15,徳島県,O,1
28,中山太一,ナカヤマタイチ,男,984483564,1962/05/12,58,愛媛県,A,0
29,太田利吉,オオタリキチ,男,82004643,1985/08/14,35,兵庫県,A,0
30,江田義昭,エダヨシアキ,男,286985999,1987/02/07,34,香川県,A,0
31,浦野夏子,ウラノナツコ,女,555247753,1973/11/17,47,大分県,O,1
32,新川法子,シンカワノリコ,女,773425797,1994/08/25,26,島根県,O,0
33,磯部昌孝,イソベマサタカ,男,835686598,1966/01/14,55,茨城県,A,1
34,喜多聖蘭,キタセイラ,女,987181929,1997/10/04,23,岐阜県,A,0
35,結城昌嗣,ユウキマサシ,男,576352620,1978/02/22,43,京都府,O,0
36,川畑心音,カワバタココネ,女,897174479,1974/06/30,46,山形県,O,0
37,高島未由来,タカシマミユキ,女,452696417,2008/12/04,12,滋賀県,O,0
38,今川清作,イマガワセイサク,男,884738306,1980/02/18,41,滋賀県,B,0
39,森川柑奈,モリカワカンナ,女,77817360,1981/09/07,39,鳥取県,O,1
40,塩見天音,シオミアマネ,女,248670987,2008/11/18,12,奈良県,AB,1
41,香川昌己,カガワマサミ,女,957838569,1975/11/12,45,大分県,AB,1
42,松島聡佑,マツシマソウスケ,男,246522379,2009/01/08,12,岡山県,A,0
43,神戸心菜,コウベココナ,女,178326274,1979/12/06,41,鳥取県,A,1
44,鹿野晴菜,カノハルナ,女,183571819,1969/03/05,52,三重県,A,1
45,平川昇,ヒラカワノボル,男,298214239,1967/07/27,53,鳥取県,A,0
46,戸塚勇人,トツカハヤト,男,450834872,1968/05/08,52,富山県,B,1
47,江川京介,エガワキョウスケ,男,379828503,2004/01/14,17,沖縄県,AB,1
48,高沢真佳奈,タカザワマカナ,女,598919508,1999/05/22,21,栃木県,O,1
49,長沢佳祐,ナガサワケイスケ,男,55929876,1964/06/30,56,香川県,B,1
50,伊東数也,イトウカズヤ,男,857460646,1975/01/03,46,愛媛県,A,1
51,畑中爽也,ハタナカソウヤ,男,143989198,2005/08/30,15,奈良県,A,1
52,小澤美代子,オザワミヨコ,女,952948327,1988/08/21,32,大阪府,O,1
53,尾上好雄,オガミヨシオ,男,241171777,1989/08/29,31,愛知県,B,1
54,櫻井隆雄,サクライタカオ,男,897047881,1968/09/06,52,石川県,A,1
55,金山二郎,カナヤマジロウ,男,855140949,1973/06/29,47,東京都,B,1
56,麻生薫,アソウカオル,女,853209346,1976/03/06,45,東京都,B,1
57,内村政一,ウチムラマサイチ,男,966706088,1992/01/07,29,岡山県,A,1
58,高山和子,タカヤマカズコ,女,245604691,1977/06/11,43,広島県,B,1
59,河村紗琴香,カワムラサトカ,女,292327424,2008/02/19,13,佐賀県,O,1
60,長谷和弘,ナガヤカズヒロ,男,985142313,1991/04/01,29,奈良県,B,0
61,大森麻紀,オオモリマキ,女,942186333,1965/03/12,56,山形県,O,0
62,沼田菫,ヌマタスミレ,女,384916927,1980/10/11,40,千葉県,O,0
63,山本響子,ヤマモトキョウコ,女,225004171,1991/11/28,29,鳥取県,B,0
64,高沢花穂,タカザワカホ,女,545670022,1979/04/25,41,福井県,AB,0
65,保坂蓮司,ホサカレンジ,男,586091249,2010/07/31,10,岡山県,A,0
66,依田裕美子,イダユミコ,女,980064462,1990/07/12,30,高知県,B,0
67,嶋田文彦,シマダフミヒコ,男,763650849,1978/11/25,42,滋賀県,A,0
68,黒沢凛夏子,クロサワリカコ,女,947022665,2008/10/03,12,滋賀県,AB,0
69,北岡司郎,キタオカシロウ,男,735868900,1981/10/24,39,和歌山県,B,0
70,西岡望美,ニシオカノゾミ,女,767085602,1996/08/11,24,新潟県,A,0
71,吉田蒼衣,ヨシダアオイ,女,763325207,1963/03/15,58,大阪府,O,0
72,田辺亨,タナベトオル,男,557111645,1992/03/19,29,千葉県,A,0
73,金山誠一,カナヤマセイイチ,男,978646167,1969/04/08,51,富山県,A,0
74,阿部和利,アベカズトシ,男,557070599,1966/01/21,55,青森県,B,0
75,富山喜咲,トミヤマキサキ,女,836279468,1986/10/26,34,島根県,A,0
76,沢春菜,サワハルナ,女,639358852,1978/09/10,42,石川県,B,0
77,楠悠里,クスノキユウリ,女,597995205,1991/04/21,29,大分県,B,0
78,宮脇真,ミヤワキマコト,男,289216874,1988/09/17,32,石川県,B,0
79,堀川風吾,ホリカワフウゴ,男,88452925,1998/09/05,22,秋田県,A,0
80,安藤莉歩,アンドウリホ,女,89728290,1988/01/27,33,群馬県,AB,0
81,大沢吉夫,オオサワヨシオ,男,739816250,1988/05/06,32,山口県,A,1
82,森口裕之,モリグチヒロユキ,男,22481898,1975/03/17,46,福岡県,A,1
83,岩崎正和,イワサキマサカズ,男,99570911,2000/06/07,20,茨城県,O,1
84,妹尾章平,セノオショウヘイ,男,968116631,1980/05/11,40,茨城県,A,1
85,海野利来,ウミノリク,男,464306353,2008/08/03,12,福井県,O,1
86,角田爽明,カクタソウメイ,男,954807467,2008/11/24,12,福岡県,O,1
87,山脇梓,ヤマワキアズサ,女,436221217,2002/01/16,19,山形県,B,1
88,前田弘恭,マエダヒロユキ,男,770695838,1965/04/26,55,沖縄県,O,1
89,浅田星亜,アサダセア,女,244215902,2007/08/31,13,和歌山県,AB,1
90,坂友一,バントモカズ,男,832414431,1990/04/26,30,富山県,B,
91,小池武雄,コイケタケオ,男,855582837,1980/03/07,41,大分県,B,1
92,谷口碧仁,タニグチアオト,男,194241192,1996/09/21,24,島根県,A,1
